2020-01-06 13:48:59 T: 23.95 degC, P: 1022.32 hPa, H: 38.03 %rH, G: 25435 Ohms
2020-01-06 14:50:04 T: 24.40 degC, P: 1021.47 hPa, H: 36.60 %rH, G: 148493 Ohms
2020-01-06 14:50:09 T: 24.40 degC, P: 1021.47 hPa, H: 36.63 %rH, G: 148361 Ohms
2020-01-06 14:50:14 T: 24.40 degC, P: 1021.47 hPa, H: 36.60 %rH, G: 147577 Ohms
2020-01-06 14:50:19 T: 24.40 degC, P: 1021.47 hPa, H: 36.55 %rH, G: 147707 Ohms
2020-01-06 14:50:24 T: 24.40 degC, P: 1021.45 hPa, H: 36.47 %rH, G: 149420 Ohms
2020-01-06 14:50:29 T: 24.41 degC, P: 1021.45 hPa, H: 36.46 %rH, G: 147838 Ohms
2020-01-06 14:50:34 T: 24.41 degC, P: 1021.45 hPa, H: 36.51 %rH, G: 147707 Ohms
2020-01-06 14:50:39 T: 24.41 degC, P: 1021.45 hPa, H: 36.58 %rH, G: 147318 Ohms
2020-01-06 14:50:44 T: 24.41 degC, P: 1021.45 hPa, H: 36.59 %rH, G: 147577 Ohms
2020-01-06 14:50:49 T: 24.41 degC, P: 1021.45 hPa, H: 36.63 %rH, G: 148757 Ohms
2020-01-06 14:50:54 T: 24.41 degC, P: 1021.45 hPa, H: 36.67 %rH, G: 147577 Ohms
2020-01-06 14:50:59 T: 24.41 degC, P: 1021.45 hPa, H: 36.71 %rH, G: 147577 Ohms
2020-01-06 14:51:04 T: 24.41 degC, P: 1021.43 hPa, H: 36.71 %rH, G: 147318 Ohms
2020-01-06 14:51:09 T: 24.41 degC, P: 1021.43 hPa, H: 36.71 %rH, G: 148230 Ohms
2020-01-06 14:51:14 T: 24.41 degC, P: 1021.43 hPa, H: 36.74 %rH, G: 146544 Ohms
2020-01-06 14:51:19 T: 24.42 degC, P: 1021.45 hPa, H: 36.81 %rH, G: 147447 Ohms
2020-01-06 14:51:24 T: 24.42 degC, P: 1021.43 hPa, H: 36.78 %rH, G: 147188 Ohms
2020-01-06 14:51:29 T: 24.42 degC, P: 1021.43 hPa, H: 36.73 %rH, G: 147059 Ohms
2020-01-06 14:51:34 T: 24.42 degC, P: 1021.41 hPa, H: 36.74 %rH, G: 146801 Ohms
2020-01-06 14:51:39 T: 24.43 degC, P: 1021.41 hPa, H: 36.68 %rH, G: 146930 Ohms
2020-01-06 14:51:44 T: 24.43 degC, P: 1021.41 hPa, H: 36.62 %rH, G: 148099 Ohms
2020-01-06 14:51:49 T: 24.43 degC, P: 1021.41 hPa, H: 36.59 %rH, G: 147447 Ohms
2020-01-06 14:51:54 T: 24.43 degC, P: 1021.40 hPa, H: 36.58 %rH, G: 147968 Ohms
2020-01-06 14:51:59 T: 24.44 degC, P: 1021.43 hPa, H: 36.52 %rH, G: 147577 Ohms
2020-01-06 14:52:04 T: 24.44 degC, P: 1021.43 hPa, H: 36.51 %rH, G: 147838 Ohms
2020-01-06 14:52:09 T: 24.44 degC, P: 1021.43 hPa, H: 36.50 %rH, G: 148230 Ohms
2020-01-06 14:52:14 T: 24.44 degC, P: 1021.43 hPa, H: 36.52 %rH, G: 147838 Ohms
2020-01-06 14:52:19 T: 24.44 degC, P: 1021.43 hPa, H: 36.55 %rH, G: 147188 Ohms
2020-01-06 14:52:24 T: 24.44 degC, P: 1021.43 hPa, H: 36.53 %rH, G: 147968 Ohms
2020-01-06 14:52:29 T: 24.45 degC, P: 1021.41 hPa, H: 36.60 %rH, G: 147318 Ohms
2020-01-06 14:52:34 T: 24.45 degC, P: 1021.41 hPa, H: 36.58 %rH, G: 147318 Ohms
2020-01-06 14:52:39 T: 24.46 degC, P: 1021.43 hPa, H: 36.55 %rH, G: 147447 Ohms
2020-01-06 14:52:44 T: 24.46 degC, P: 1021.43 hPa, H: 36.53 %rH, G: 147188 Ohms
2020-01-06 14:52:49 T: 24.47 degC, P: 1021.41 hPa, H: 36.56 %rH, G: 147188 Ohms
2020-01-06 14:52:54 T: 24.47 degC, P: 1021.41 hPa, H: 36.60 %rH, G: 147318 Ohms
2020-01-06 14:52:59 T: 24.47 degC, P: 1021.41 hPa, H: 36.61 %rH, G: 147318 Ohms
2020-01-06 14:53:04 T: 24.48 degC, P: 1021.43 hPa, H: 36.63 %rH, G: 147188 Ohms
2020-01-06 14:53:09 T: 24.48 degC, P: 1021.41 hPa, H: 36.67 %rH, G: 146673 Ohms
2020-01-06 14:53:14 T: 24.48 degC, P: 1021.40 hPa, H: 36.66 %rH, G: 146673 Ohms
2020-01-06 14:53:19 T: 24.48 degC, P: 1021.41 hPa, H: 36.63 %rH, G: 146930 Ohms
2020-01-06 14:53:24 T: 24.48 degC, P: 1021.40 hPa, H: 36.61 %rH, G: 146544 Ohms
2020-01-06 14:53:29 T: 24.49 degC, P: 1021.40 hPa, H: 36.63 %rH, G: 147059 Ohms
2020-01-06 14:53:34 T: 24.49 degC, P: 1021.40 hPa, H: 36.63 %rH, G: 147059 Ohms
2020-01-06 14:53:39 T: 24.49 degC, P: 1021.40 hPa, H: 36.66 %rH, G: 146673 Ohms
2020-01-06 14:53:44 T: 24.49 degC, P: 1021.40 hPa, H: 36.64 %rH, G: 146673 Ohms
2020-01-06 14:53:50 T: 24.48 degC, P: 1021.40 hPa, H: 36.63 %rH, G: 147188 Ohms
2020-01-06 14:53:55 T: 24.48 degC, P: 1021.40 hPa, H: 36.64 %rH, G: 147188 Ohms
2020-01-06 14:54:00 T: 24.48 degC, P: 1021.38 hPa, H: 36.63 %rH, G: 146416 Ohms
2020-01-06 14:54:05 T: 24.48 degC, P: 1021.38 hPa, H: 36.66 %rH, G: 146544 Ohms
2020-01-06 14:54:10 T: 24.48 degC, P: 1021.38 hPa, H: 36.67 %rH, G: 146673 Ohms
2020-01-06 14:54:15 T: 24.48 degC, P: 1021.38 hPa, H: 36.67 %rH, G: 146288 Ohms
2020-01-06 14:54:20 T: 24.48 degC, P: 1021.36 hPa, H: 36.68 %rH, G: 147188 Ohms
2020-01-06 14:54:25 T: 24.49 degC, P: 1021.36 hPa, H: 36.69 %rH, G: 146673 Ohms
2020-01-06 14:54:30 T: 24.49 degC, P: 1021.36 hPa, H: 36.70 %rH, G: 146161 Ohms
2020-01-06 14:54:35 T: 24.49 degC, P: 1021.36 hPa, H: 36.72 %rH, G: 145906 Ohms
2020-01-06 14:54:40 T: 24.49 degC, P: 1021.36 hPa, H: 36.73 %rH, G: 145906 Ohms
2020-01-06 14:54:45 T: 24.49 degC, P: 1021.36 hPa, H: 36.74 %rH, G: 145652 Ohms
2020-01-06 14:54:50 T: 24.49 degC, P: 1021.34 hPa, H: 36.71 %rH, G: 146161 Ohms
2020-01-06 14:54:55 T: 24.49 degC, P: 1021.34 hPa, H: 36.72 %rH, G: 146416 Ohms
2020-01-06 14:55:00 T: 24.49 degC, P: 1021.36 hPa, H: 36.73 %rH, G: 146416 Ohms
2020-01-06 14:55:05 T: 24.49 degC, P: 1021.34 hPa, H: 36.74 %rH, G: 145652 Ohms
2020-01-06 14:55:10 T: 24.50 degC, P: 1021.36 hPa, H: 36.75 %rH, G: 145906 Ohms
2020-01-06 14:55:15 T: 24.50 degC, P: 1021.36 hPa, H: 36.76 %rH, G: 145779 Ohms
2020-01-06 14:55:20 T: 24.50 degC, P: 1021.36 hPa, H: 36.80 %rH, G: 146161 Ohms
2020-01-06 14:55:25 T: 24.51 degC, P: 1021.36 hPa, H: 36.80 %rH, G: 146416 Ohms
2020-01-06 14:55:30 T: 24.51 degC, P: 1021.34 hPa, H: 36.76 %rH, G: 145779 Ohms
2020-01-06 14:55:35 T: 24.51 degC, P: 1021.34 hPa, H: 36.74 %rH, G: 145779 Ohms
2020-01-06 14:55:40 T: 24.51 degC, P: 1021.32 hPa, H: 36.73 %rH, G: 146416 Ohms
2020-01-06 14:55:45 T: 24.51 degC, P: 1021.32 hPa, H: 36.72 %rH, G: 146673 Ohms
2020-01-06 14:55:50 T: 24.51 degC, P: 1021.32 hPa, H: 36.71 %rH, G: 146801 Ohms
2020-01-06 14:55:55 T: 24.51 degC, P: 1021.32 hPa, H: 36.67 %rH, G: 145779 Ohms
2020-01-06 14:56:00 T: 24.52 degC, P: 1021.34 hPa, H: 36.58 %rH, G: 146161 Ohms
2020-01-06 14:56:05 T: 24.52 degC, P: 1021.34 hPa, H: 36.53 %rH, G: 147577 Ohms
2020-01-06 14:56:10 T: 24.52 degC, P: 1021.32 hPa, H: 36.49 %rH, G: 147447 Ohms
2020-01-06 14:56:15 T: 24.52 degC, P: 1021.32 hPa, H: 36.54 %rH, G: 146161 Ohms
2020-01-06 14:56:20 T: 24.53 degC, P: 1021.32 hPa, H: 36.60 %rH, G: 145906 Ohms
2020-01-06 14:56:25 T: 24.53 degC, P: 1021.30 hPa, H: 36.65 %rH, G: 145906 Ohms
2020-01-06 14:56:30 T: 24.53 degC, P: 1021.30 hPa, H: 36.66 %rH, G: 146033 Ohms
2020-01-06 14:56:35 T: 24.53 degC, P: 1021.30 hPa, H: 36.66 %rH, G: 146416 Ohms
2020-01-06 14:56:40 T: 24.53 degC, P: 1021.28 hPa, H: 36.66 %rH, G: 146801 Ohms
2020-01-06 14:56:45 T: 24.54 degC, P: 1021.32 hPa, H: 36.69 %rH, G: 146161 Ohms
2020-01-06 14:56:50 T: 24.54 degC, P: 1021.30 hPa, H: 36.71 %rH, G: 145779 Ohms
2020-01-06 14:56:55 T: 24.54 degC, P: 1021.30 hPa, H: 36.72 %rH, G: 146288 Ohms
2020-01-06 14:57:00 T: 24.55 degC, P: 1021.28 hPa, H: 36.72 %rH, G: 145906 Ohms
2020-01-06 14:57:05 T: 24.55 degC, P: 1021.26 hPa, H: 36.70 %rH, G: 146161 Ohms
2020-01-06 14:57:10 T: 24.55 degC, P: 1021.28 hPa, H: 36.70 %rH, G: 146416 Ohms
2020-01-06 14:57:15 T: 24.55 degC, P: 1021.28 hPa, H: 36.68 %rH, G: 145906 Ohms
2020-01-06 14:57:20 T: 24.55 degC, P: 1021.28 hPa, H: 36.66 %rH, G: 145652 Ohms
2020-01-06 14:57:25 T: 24.55 degC, P: 1021.28 hPa, H: 36.67 %rH, G: 146161 Ohms
2020-01-06 14:57:30 T: 24.55 degC, P: 1021.28 hPa, H: 36.69 %rH, G: 146416 Ohms
2020-01-06 14:57:35 T: 24.56 degC, P: 1021.26 hPa, H: 36.70 %rH, G: 145022 Ohms
2020-01-06 14:57:40 T: 24.56 degC, P: 1021.26 hPa, H: 36.71 %rH, G: 146161 Ohms
2020-01-06 14:57:45 T: 24.56 degC, P: 1021.26 hPa, H: 36.71 %rH, G: 145022 Ohms
2020-01-06 14:57:50 T: 24.56 degC, P: 1021.24 hPa, H: 36.73 %rH, G: 145147 Ohms
2020-01-06 14:57:55 T: 24.57 degC, P: 1021.24 hPa, H: 36.72 %rH, G: 146033 Ohms
2020-01-06 14:58:00 T: 24.57 degC, P: 1021.22 hPa, H: 36.71 %rH, G: 146544 Ohms
2020-01-06 14:58:05 T: 24.57 degC, P: 1021.28 hPa, H: 36.73 %rH, G: 146161 Ohms
2020-01-06 14:58:10 T: 24.58 degC, P: 1021.26 hPa, H: 36.72 %rH, G: 145652 Ohms
2020-01-06 14:58:15 T: 24.58 degC, P: 1021.26 hPa, H: 36.70 %rH, G: 145652 Ohms
2020-01-06 14:58:20 T: 24.58 degC, P: 1021.24 hPa, H: 36.68 %rH, G: 145906 Ohms
2020-01-06 14:58:25 T: 24.59 degC, P: 1021.24 hPa, H: 36.67 %rH, G: 144896 Ohms
2020-01-06 14:58:30 T: 24.59 degC, P: 1021.24 hPa, H: 36.66 %rH, G: 146673 Ohms
2020-01-06 14:58:35 T: 24.59 degC, P: 1021.24 hPa, H: 36.66 %rH, G: 146161 Ohms
2020-01-06 14:58:40 T: 24.59 degC, P: 1021.26 hPa, H: 36.64 %rH, G: 145652 Ohms
2020-01-06 14:58:45 T: 24.60 degC, P: 1021.26 hPa, H: 36.64 %rH, G: 144771 Ohms
2020-01-06 14:58:50 T: 24.60 degC, P: 1021.24 hPa, H: 36.65 %rH, G: 145399 Ohms
2020-01-06 14:58:55 T: 24.60 degC, P: 1021.24 hPa, H: 36.67 %rH, G: 144771 Ohms
2020-01-06 14:59:00 T: 24.60 degC, P: 1021.24 hPa, H: 36.65 %rH, G: 145779 Ohms
2020-01-06 14:59:05 T: 24.60 degC, P: 1021.22 hPa, H: 36.63 %rH, G: 146288 Ohms
2020-01-06 14:59:10 T: 24.60 degC, P: 1021.22 hPa, H: 36.63 %rH, G: 145526 Ohms
2020-01-06 14:59:15 T: 24.60 degC, P: 1021.22 hPa, H: 36.65 %rH, G: 145779 Ohms
2020-01-06 14:59:20 T: 24.60 degC, P: 1021.20 hPa, H: 36.66 %rH, G: 145147 Ohms
2020-01-06 14:59:25 T: 24.60 degC, P: 1021.20 hPa, H: 36.68 %rH, G: 145652 Ohms
2020-01-06 14:59:30 T: 24.60 degC, P: 1021.20 hPa, H: 36.69 %rH, G: 144521 Ohms
2020-01-06 14:59:35 T: 24.60 degC, P: 1021.18 hPa, H: 36.68 %rH, G: 145399 Ohms
2020-01-06 14:59:40 T: 24.61 degC, P: 1021.20 hPa, H: 36.64 %rH, G: 145779 Ohms
2020-01-06 14:59:45 T: 24.61 degC, P: 1021.20 hPa, H: 36.62 %rH, G: 146416 Ohms
2020-01-06 14:59:50 T: 24.61 degC, P: 1021.18 hPa, H: 36.60 %rH, G: 145022 Ohms
2020-01-06 14:59:55 T: 24.61 degC, P: 1021.22 hPa, H: 36.60 %rH, G: 145652 Ohms
2020-01-06 15:00:00 T: 24.62 degC, P: 1021.20 hPa, H: 36.60 %rH, G: 144521 Ohms
2020-01-06 15:00:05 T: 24.62 degC, P: 1021.20 hPa, H: 36.60 %rH, G: 146161 Ohms
2020-01-06 15:00:10 T: 24.62 degC, P: 1021.20 hPa, H: 36.56 %rH, G: 145022 Ohms
2020-01-06 15:00:15 T: 24.62 degC, P: 1021.20 hPa, H: 36.54 %rH, G: 144896 Ohms
2020-01-06 15:00:20 T: 24.61 degC, P: 1021.20 hPa, H: 36.52 %rH, G: 145273 Ohms
2020-01-06 15:00:25 T: 24.61 degC, P: 1021.18 hPa, H: 36.51 %rH, G: 146288 Ohms
2020-01-06 15:00:30 T: 24.61 degC, P: 1021.18 hPa, H: 36.49 %rH, G: 145652 Ohms
2020-01-06 15:00:35 T: 24.61 degC, P: 1021.18 hPa, H: 36.50 %rH, G: 144896 Ohms
2020-01-06 15:00:40 T: 24.60 degC, P: 1021.18 hPa, H: 36.51 %rH, G: 144896 Ohms
2020-01-06 15:00:45 T: 24.60 degC, P: 1021.16 hPa, H: 36.51 %rH, G: 145526 Ohms
